Кол-во итераций,Пара,Две пары,Сет,Стрит,Флеш,Фулл хаус,Каре,Стрит флеш,Флеш рояль;
10,6(60.000%),1(10.000%),2(20.000%),0(0.000%),0(0.000%),0(0%),0(0.000%),0(0.000%),0(0.000%);
50,40(80.000%),15(30.000%),2(4.000%),3(6.000%),0(0.000%),0(0%),0(0.000%),0(0.000%),0(0.000%);
100,84(84.000%),18(18.000%),11(11.000%),4(4.000%),5(5.000%),1(1%),0(0.000%),0(0.000%),0(0.000%);
500,391(78.200%),122(24.400%),40(8.000%),14(2.800%),18(3.600%),14(2.8000000000000003%),1(0.200%),1(0.200%),0(0.000%);
1000,789(78.900%),251(25.100%),66(6.600%),32(3.200%),29(2.900%),22(2.1999999999999997%),1(0.100%),1(0.100%),0(0.000%);
2000,1589(79.450%),495(24.750%),157(7.850%),68(3.400%),61(3.050%),65(3.3000000000000003%),0(0.000%),6(0.300%),1(0.050%);
5000,3941(78.820%),1268(25.360%),345(6.900%),182(3.640%),173(3.460%),132(2.6%),5(0.100%),10(0.200%),1(0.020%);
10000,7860(78.600%),2416(24.160%),770(7.700%),314(3.140%),315(3.150%),268(2.7%),20(0.200%),12(0.120%),3(0.030%);
20000,15757(78.785%),4875(24.375%),1612(8.060%),638(3.190%),643(3.215%),573(2.9000000000000004%),34(0.170%),23(0.115%),3(0.015%);
50000,39462(78.924%),12237(24.474%),3799(7.598%),1616(3.232%),1586(3.172%),1312(2.6%),61(0.122%),87(0.174%),9(0.018%);
